Country Name,Country Code,Series Name,Series Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Japan,JPN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,6808.79184956025,7006.59868994224,7023.53224834238,7077.36183098479,7509.53042866957,7693.69261667942,7835.41274044387,7991.00406958757,8003.95569620253,8147.38887002393,8299.40950624,8162.01464423629,8266.09910157323,8164.9336820182,8393.25772340542,8539.01058909159,8542.47813912744,8710.0257029242,8270.00773057011,8020.27380571196,8594.90903412197,8099.59869517261,7998.34677071825,7988.58331044764,7819.71463590936,7819.71463590936
United States,USA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,11713.3317042099,12134.1721315039,12014.9582478929,12261.5237824091,12455.1621656545,12659.607628118,12854.2989079193,12889.8322801175,13154.7630268185,13281.8699827982,13671.0520240061,13046.6141478464,13296.1822993023,13307.4920085002,13388.5897105591,13704.5770481407,13583.2669593387,13657.4528282523,13663.4279681827,13513.7146883015,13394.9027551068,13245.8819278677,13264.1879389302,13304.0235689845,13524.0235689845,13604.0255619855
Russian Federation,RUS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,6687.72701103006,6551.29981615995,6113.67997148908,5726.4515926869,5188.21395452286,5101.55339563591,5016.44406640602,4935.61990495362,4848.02735251951,4998.82566135888,5198.40570401268,5274.3633046315,5304.41525955994,5478.13045818384,5633.84550039094,5770.10063642248,6098.53347618072,6286.04939176058,6399.68374911202,6095.38027602538,6409.89436516487,6485.759030014,6617.1341613974,6539.20737452554,6602.65747938354,6602.65747938354
